#,target,auid,jd,mag,uncertainty,fainterthan,band,type,observer,airmass,transformed
1,R SCT,000-BCD-304,2458200.25648,6.291,0.007,False,Johnson B,CCD,MSD,1.589,True
2,R SCT,000-BCD-304,2458200.25777,5.181,0.005,False,Johnson V,CCD,MSD,1.579,True
3,R SCT,000-BCD-304,2458213.22403,6.310,0.004,False,Johnson B,CCD,MSD,1.564,True
4,R SCT,000-BCD-304,2458213.22530,5.154,0.003,False,Johnson V,CCD,MSD,1.554,True
5,R SCT,000-BCD-304,2458228.18142,6.640,0.002,False,Johnson B,CCD,MSD,1.577,True
6,R SCT,000-BCD-304,2458228.18255,5.280,0.003,False,Johnson V,CCD,MSD,1.569,True
7,R SCT,000-BCD-304,2458229.17668,6.639,0.003,False,Johnson B,CCD,MSD,1.594,True
8,R SCT,000-BCD-304,2458229.17780,5.280,0.003,False,Johnson V,CCD,MSD,1.586,True
9,R SCT,000-BCD-304,2458239.15126,6.803,0.006,False,Johnson B,CCD,MSD,1.579,True
10,R SCT,000-BCD-304,2458239.15236,5.391,0.007,False,Johnson V,CCD,MSD,1.570,True
11,R SCT,000-BCD-304,2458244.14108,6.686,0.003,False,Johnson B,CCD,MSD,1.550,True
12,R SCT,000-BCD-304,2458244.14219,5.275,0.007,False,Johnson V,CCD,MSD,1.542,True
13,R SCT,000-BCD-304,2458247.12750,6.629,0.003,False,Johnson B,CCD,MSD,1.595,True
14,R SCT,000-BCD-304,2458247.12860,5.272,0.004,False,Johnson V,CCD,MSD,1.586,True
15,R Sct,000-BCD-304,2458252.7236,5.322,0.022,False,Johnson V,DSLR,SHS,1.926,True
16,R SCT,000-BCD-304,2458264.08465,6.990,0.004,False,Johnson B,CCD,MSD,1.566,True
17,R SCT,000-BCD-304,2458264.08575,5.567,0.002,False,Johnson V,CCD,MSD,1.557,True
18,R SCT,000-BCD-304,2458280.37986,6.096,0.1,False,Johnson V,CCD,TUB,"1,18",False
19,R Sct,000-BCD-304,2458285.6048,5.518,0.020,False,Johnson V,DSLR,SHS,2.271,True
20,R SCT,000-BCD-304,2458290.46627,5.279,0.010,False,Johnson V,DSLR,ADI,1.835,True
21,R SCT,000-BCD-304,2458290.46627,6.540,0.016,False,Johnson B,DSLR,ADI,1.835,True
22,R Sct,000-BCD-304,2458292.5868,5.151,0.050,False,Johnson V,DSLR,SHS,2.255,True
23,R SCT,000-BCD-304,2458299.43832,5.010,0.015,False,Johnson V,DSLR,ADI,1.849,True
24,R SCT,000-BCD-304,2458299.43832,6.268,0.022,False,Johnson B,DSLR,ADI,1.849,True
25,R SCT,000-BCD-304,2458301.16544,6.270,0.007,False,Johnson B,CCD,MSD,1.281,True
26,R SCT,000-BCD-304,2458301.16654,5.011,0.002,False,Johnson V,CCD,MSD,1.284,True
27,R SCT,000-BCD-304,2458302.39097,5.184,0.04,False,Johnson V,CCD,TUB,"1,18",False
28,R SCT,000-BCD-304,2458307.38194,5.614,0.04,False,Johnson V,CCD,TUB,"1,18",False
29,R Sct,000-BCD-304,2458307.6069,4.931,0.083,False,Johnson V,DSLR,SHS,1.703,True
30,R SCT,000-BCD-304,2458308.43336,5.035,0.016,False,Johnson V,DSLR,ADI,1.784,True
31,R SCT,000-BCD-304,2458308.43336,6.382,0.016,False,Johnson B,DSLR,ADI,1.784,True
