Object,Julian Date,UT,Magnitude Qualifier,Magnitude,Magnitude Error,Observer Name,Method,Equipment,Filter,Chart / Sequence,Visual Estimates,CCD Measurement Data: Measurement Type;Star Type;Star Id;Measured Mag;Measured Error;Reference Mag;Reference Error,Observation_Id
"GAMMA CAS","2460783.417000","17 Apr 2025 22:00:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","5170045"
"GAMMA CAS","2460774.396000","8 Apr 2025 21:30:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","5169959"
"GAMMA CAS","2460769.433000","3 Apr 2025 22:23:00","Equal","2.2000","","R B I Fraser","Visual","NE","No Filter","64.01","C+1","","5152327"
"GAMMA CAS","2460767.396000","1 Apr 2025 21:30:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5140483"
"GAMMA CAS","2460761.396000","26 Mar 2025 21:30:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5128699"
"GAMMA CAS","2460761.390000","26 Mar 2025 21:21:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","5171155"
"GAMMA CAS","2460753.399000","18 Mar 2025 21:35:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","5109604"
"GAMMA CAS","2460752.325000","17 Mar 2025 19:48:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","5171154"
"GAMMA CAS","2460740.351000","5 Mar 2025 20:25:00","Equal","2.1000","","S W Albrighton","Visual","NE","No Filter","064.01","C+2","","5087692"
"GAMMA CAS","2460737.350000","2 Mar 2025 20:24:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","5171153"
"GAMMA CAS","2460734.451000","27 Feb 2025 22:50:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","5062821"
"GAMMA CAS","2460729.388000","22 Feb 2025 21:18:00","Equal","2.1000","","L K Brundle","Visual","nakedeye","No Filter","64.01","A-4;C+2",": ","5101913"
"GAMMA CAS","2460727.365000","20 Feb 2025 20:45:00","Equal","2.2000","","S W Albrighton","Visual","NE","No Filter","064.01","C+1","","5057924"
"GAMMA CAS","2460712.295000","5 Feb 2025 19:05:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5042243"
"GAMMA CAS","2460706.326000","30 Jan 2025 19:50:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5037517"
"GAMMA CAS","2460706.275000","30 Jan 2025 18:36:00","Equal","2.0000","","L K Brundle","Visual","nakedeye","No Filter","64.01","B+1;C+3",": ","5043530"
"GAMMA CAS","2460699.306000","23 Jan 2025 19:20:00","Equal","2.4000","","S W Albrighton","Visual","NE","No Filter","064.01","C-1","","5032986"
"GAMMA CAS","2460691.288000","15 Jan 2025 18:55:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5033041"
"GAMMA CAS","2460685.486000","9 Jan 2025 23:40:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5032940"
"GAMMA CAS","2460678.427000","2 Jan 2025 22:15:00","Equal","2.3000","","S W Albrighton","Visual","NE","No Filter","064.01","V=C","","5014398"
